Round #1: ,,
,,
Strategy, # of Games, Ending Balance
1,10,$400 
2,5,$0 
3,10,$200 
,,
Round #2: ,,
,,
Strategy, # of Games, Ending Balance
1,10,$400 
2,7,$0 
3,10,$200 
,,
Round #3: ,,
,,
Strategy, # of Games, Ending Balance
1,10,"$1,200 "
2,10,"$1,300 "
3,10,$600 
,,
Round #4: ,,
,,
Strategy, # of Games, Ending Balance
1,10,$800 
2,10,"$1,300 "
3,10,$400 
,,
Round #5: ,,
,,
Strategy, # of Games, Ending Balance
1,10,$600 
2,9,$0 
3,10,$300 
